longitude,latitude,t
19.39243677579889,52.43852534396685,2.0957031
11.403408633054324,42.64197522015376,10.326172
3.4276881564391664,33.52438631932992,6.743164
5.681566928044287,28.341828978962027,10.447266
10.477373126609582,39.87909715457827,13.707031
5.693681937972555,48.34437666600576,0.31835938
0.9633676971932584,52.26987750816814,4.4804688
0.9224465862132109,47.30077418192792,3.2949219
5.015288637276551,43.539954215279465,5.8945312
8.7332422934827,42.59813711308695,12.238281
12.936389998252702,34.50932440343801,17.707031
7.999999012841923,67.07155574631517,4.6152344
5.613819195970638,65.3095649832145,4.6689453
5.5170074696441365,44.43933185976061,0.7216797
15.424163873905908,61.556943457170725,-2.3359375
17.783499547317923,34.54771140043221,16.414062
19.84771066910005,35.51241723689959,15.942383
12.854443637133912,34.94544721164215,17.330078
17.603036629243967,54.03613300195156,0.81640625
0.1786991018621127,63.81151005726262,5.301758
4.907327077275827,41.866731626013554,11.1875
12.269233174802991,54.72161543097534,3.9013672
16.11136657032634,38.74003959964469,11.956055
4.655043923550316,65.76860728870396,4.1435547
0.2947474151851099,42.30742821371936,1.3017578
