x,y,cond
64.0,9.0,33.61
64.0,27.0,31.06
64.0,45.0,21.95
64.0,63.0,39.51
64.0,81.0,25.35
64.0,99.0,25.26
72.0,9.0,36.03
72.0,27.0,33.48
72.0,45.0,27.04
72.0,63.0,32.19
72.0,81.0,25.3
72.0,99.0,30.42
77.0,9.0,34.24
77.0,27.0,33.53
77.0,45.0,27.65
77.0,63.0,28.98
77.0,81.0,24.74
77.0,99.0,30.2
85.0,9.0,30.42
85.0,27.0,30.22
85.0,45.0,21.63
85.0,63.0,24.52
85.0,81.0,21.37
85.0,99.0,30.73
93.0,9.0,31.37
93.0,27.0,30.12
93.0,45.0,25.26
93.0,63.0,25.6
93.0,81.0,23.58
93.0,99.0,22.33
