longitude,latitude,time,t,point
5.836373903381393,39.984101606103,2025-02-01,12.8984375,A
14.993404405381472,39.85470937322553,2025-02-01,14.878906,B
5.898809254332635,47.01352913562899,2025-02-01,1.5029297,C
5.836373903381393,39.984101606103,2025-02-02,12.163727,A
14.993404405381472,39.85470937322553,2025-02-02,14.702789,B
5.898809254332635,47.01352913562899,2025-02-02,-0.44857788,C
5.836373903381393,39.984101606103,2025-02-03,14.123383,A
14.993404405381472,39.85470937322553,2025-02-03,14.404633,B
5.898809254332635,47.01352913562899,2025-02-03,0.24545288,C
5.836373903381393,39.984101606103,2025-02-04,13.851593,A
14.993404405381472,39.85470937322553,2025-02-04,13.97171,B
5.898809254332635,47.01352913562899,2025-02-04,-1.3778992,C
5.836373903381393,39.984101606103,2025-02-05,13.593658,A
14.993404405381472,39.85470937322553,2025-02-05,13.247955,B
5.898809254332635,47.01352913562899,2025-02-05,-3.7344666,C
5.836373903381393,39.984101606103,2025-02-06,12.858734,A
14.993404405381472,39.85470937322553,2025-02-06,12.968109,B
5.898809254332635,47.01352913562899,2025-02-06,-1.9283752,C
5.836373903381393,39.984101606103,2025-02-07,13.477905,A
14.993404405381472,39.85470937322553,2025-02-07,14.067749,B
5.898809254332635,47.01352913562899,2025-02-07,-1.1392822,C
5.836373903381393,39.984101606103,2025-02-08,13.845978,A
14.993404405381472,39.85470937322553,2025-02-08,14.441681,B
5.898809254332635,47.01352913562899,2025-02-08,4.492462,C
5.836373903381393,39.984101606103,2025-02-09,13.185638,A
14.993404405381472,39.85470937322553,2025-02-09,13.959076,B
5.898809254332635,47.01352913562899,2025-02-09,2.4551697,C
5.836373903381393,39.984101606103,2025-02-10,13.21347,A
14.993404405381472,39.85470937322553,2025-02-10,12.783783,B
5.898809254332635,47.01352913562899,2025-02-10,3.790619,C
5.836373903381393,39.984101606103,2025-02-11,14.229584,A
14.993404405381472,39.85470937322553,2025-02-11,13.257904,B
5.898809254332635,47.01352913562899,2025-02-11,7.6299744,C
5.836373903381393,39.984101606103,2025-02-12,14.498688,A
14.993404405381472,39.85470937322553,2025-02-12,13.458649,B
5.898809254332635,47.01352913562899,2025-02-12,8.813141,C
5.836373903381393,39.984101606103,2025-02-13,14.743622,A
14.993404405381472,39.85470937322553,2025-02-13,14.499481,B
5.898809254332635,47.01352913562899,2025-02-13,8.794403,C
5.836373903381393,39.984101606103,2025-02-14,13.483917,A
14.993404405381472,39.85470937322553,2025-02-14,14.302277,B
5.898809254332635,47.01352913562899,2025-02-14,1.7817688,C
5.836373903381393,39.984101606103,2025-02-15,13.493683,A
14.993404405381472,39.85470937322553,2025-02-15,14.700714,B
5.898809254332635,47.01352913562899,2025-02-15,-2.5707703,C
5.836373903381393,39.984101606103,2025-02-16,12.854889,A
14.993404405381472,39.85470937322553,2025-02-16,11.937897,B
5.898809254332635,47.01352913562899,2025-02-16,0.37734985,C
5.836373903381393,39.984101606103,2025-02-17,13.94989,A
14.993404405381472,39.85470937322553,2025-02-17,14.3463745,B
5.898809254332635,47.01352913562899,2025-02-17,1.0026245,C
5.836373903381393,39.984101606103,2025-02-18,13.815399,A
14.993404405381472,39.85470937322553,2025-02-18,13.357391,B
5.898809254332635,47.01352913562899,2025-02-18,0.72457886,C
5.836373903381393,39.984101606103,2025-02-19,14.543243,A
14.993404405381472,39.85470937322553,2025-02-19,13.730743,B
5.898809254332635,47.01352913562899,2025-02-19,3.8547668,C
5.836373903381393,39.984101606103,2025-02-20,14.782501,A
14.993404405381472,39.85470937322553,2025-02-20,13.361603,B
5.898809254332635,47.01352913562899,2025-02-20,8.019806,C
5.836373903381393,39.984101606103,2025-02-21,12.987793,A
14.993404405381472,39.85470937322553,2025-02-21,12.723145,B
5.898809254332635,47.01352913562899,2025-02-21,7.6899414,C
5.836373903381393,39.984101606103,2025-02-22,13.463867,A
14.993404405381472,39.85470937322553,2025-02-22,13.477539,B
5.898809254332635,47.01352913562899,2025-02-22,10.422852,C
5.836373903381393,39.984101606103,2025-02-23,14.68515,A
14.993404405381472,39.85470937322553,2025-02-23,13.56308,B
5.898809254332635,47.01352913562899,2025-02-23,8.724213,C
5.836373903381393,39.984101606103,2025-02-24,14.211884,A
14.993404405381472,39.85470937322553,2025-02-24,14.050751,B
5.898809254332635,47.01352913562899,2025-02-24,7.969696,C
5.836373903381393,39.984101606103,2025-02-25,14.56723,A
14.993404405381472,39.85470937322553,2025-02-25,13.487152,B
5.898809254332635,47.01352913562899,2025-02-25,8.903168,C
5.836373903381393,39.984101606103,2025-02-26,13.220551,A
14.993404405381472,39.85470937322553,2025-02-26,14.592621,B
5.898809254332635,47.01352913562899,2025-02-26,4.0350037,C
5.836373903381393,39.984101606103,2025-02-27,13.721832,A
14.993404405381472,39.85470937322553,2025-02-27,12.371246,B
5.898809254332635,47.01352913562899,2025-02-27,5.166168,C
5.836373903381393,39.984101606103,2025-02-28,13.633759,A
14.993404405381472,39.85470937322553,2025-02-28,14.43454,B
5.898809254332635,47.01352913562899,2025-02-28,2.563446,C
